batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,max_total_run_x,crr,rrr,results
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,125,10,179,-0.0,8.59,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,124,10,179,-0.0,8.66,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,179,123,10,179,-0.0,8.73,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,170,119,10,179,54.0,8.57,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,166,118,10,179,39.0,8.44,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,165,117,10,179,28.0,8.46,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,165,116,10,179,21.0,8.53,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,161,115,10,179,21.6,8.4,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,161,114,10,179,18.0,8.47,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,160,113,10,179,16.29,8.5,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,159,112,10,179,15.0,8.52,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,158,111,10,179,14.0,8.54,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,157,110,10,179,13.2,8.56,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,151,109,10,179,15.27,8.31,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,150,108,10,179,14.5,8.33,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,150,107,10,179,13.38,8.41,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,149,106,10,179,12.86,8.43,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,148,105,10,179,12.4,8.46,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,144,104,10,179,13.12,8.31,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,143,103,10,179,12.71,8.33,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,142,102,10,179,12.33,8.35,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,142,101,9,179,11.68,8.44,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,138,100,9,179,12.3,8.28,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,134,101,9,179,14.21,7.96,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,133,100,9,179,13.8,7.98,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,131,99,9,179,13.71,7.94,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,125,98,9,179,14.73,7.65,1
Gujarat Titans,Chennai Super Kings,Ahmedabad,125,97,9,179,14.09,7.73,1
